budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
237000000,"Action, Adventure, Fantasy, Science Fiction",Released,Enter the World of Pandora.,Avatar,7.2,11800
300000000,"Adventure, Fantasy, Action",Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000,"Action, Adventure, Crime",Released,A Plan No One Escapes,Spectre,6.3,4466
250000000,"Action, Crime, Drama, Thriller",Released,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000,"Action, Adventure, Science Fiction",Released,"Lost in our world, found in another.",John Carter,6.1,2124
258000000,"Fantasy, Action, Adventure",Released,The battle within.,Spider-Man 3,5.9,3576
260000000,"Animation, Family",Released,They're taking adventure to new lengths.,Tangled,7.4,3330
280000000,"Action, Adventure, Science Fiction",Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
250000000,"Adventure, Fantasy, Family",Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,"Action, Adventure, Fantasy",Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
270000000,"Adventure, Fantasy, Action, Science Fiction",Released,null,Superman Returns,5.4,1400
200000000,"Adventure, Action, Thriller, Crime",Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
200000000,"Adventure, Fantasy, Action",Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
255000000,"Action, Adventure, Western",Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000,"Action, Adventure, Fantasy, Science Fiction",Released,You will believe that a man can fly.,Man of Steel,6.5,6359
225000000,"Adventure, Family, Fantasy",Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,"Science Fiction, Action, Adventure",Released,Some assembly required.,The Avengers,7.4,11776
380000000,"Adventure, Action, Fantasy",Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,"Action, Comedy, Science Fiction",Released,They are back... in time.,Men in Black 3,6.2,4160
250000000,"Action, Adventure, Fantasy",Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,"Action, Adventure, Fantasy",Released,The untold story begins.,The Amazing Spider-Man,6.5,6586
200000000,"Action, Adventure",Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
250000000,"Adventure, Fantasy",Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,"Adventure, Fantasy",Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
207000000,"Adventure, Drama, Action",Released,The eighth wonder of the world.,King Kong,6.6,2337
200000000,"Drama, Romance, Thriller",Released,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000,"Adventure, Action, Science Fiction",Released,Divided We Fall,Captain America: Civil War,7.1,7241
